Year,Month,Rainfall
1901,Jan,18.8
1901,Feb,0.6
1901,Mar,7.7
1901,Apr,36.6
1901,May,30.4
1901,Jun,107.7
1901,Jul,215.9
1901,Aug,194.1
1901,Sep,83.7
1901,Oct,68.7
1901,Nov,4.4
1901,Dec,0.5
1902,Jan,7.8
1902,Feb,0
1902,Mar,0.1
1902,Apr,5
1902,May,9.8
1902,Jun,102.6
1902,Jul,210.9
1902,Aug,114.5
1902,Sep,169.5
1902,Oct,60.4
1902,Nov,40.5
1902,Dec,62.9
1903,Jan,7.6
1903,Feb,0
1903,Mar,0
1903,Apr,3.2
1903,May,77.2
1903,Jun,86.3
1903,Jul,281.8
1903,Aug,155.5
1903,Sep,142.3
1903,Oct,74.2
1903,Nov,7.6
1903,Dec,2.2
1904,Jan,0.4
1904,Feb,4.7
1904,Mar,1.7
1904,Apr,3
1904,May,18.7
1904,Jun,114.6
1904,Jul,126.5
1904,Aug,59.5
1904,Sep,183
1904,Oct,91.1
1904,Nov,0
1904,Dec,0.4
1905,Jan,0
1905,Feb,1.2
1905,Mar,0
1905,Apr,2.3
1905,May,23.6
1905,Jun,65
1905,Jul,252.8
1905,Aug,79
1905,Sep,52.6
1905,Oct,52.9
1905,Nov,8.3
1905,Dec,0
1906,Jan,10.5
1906,Feb,0.8
1906,Mar,0
1906,Apr,0.1
1906,May,9.3
1906,Jun,184.8
1906,Jul,199.3
1906,Aug,205
1906,Sep,88.8
1906,Oct,19.1
1906,Nov,15.5
1906,Dec,11.1
1907,Jan,0.5
1907,Feb,3.7
1907,Mar,1.5
1907,Apr,54.5
1907,May,0.6
1907,Jun,118
1907,Jul,262.3
1907,Aug,267.8
1907,Sep,94.1
1907,Oct,7.6
1907,Nov,3.6
1907,Dec,0.9
1908,Jan,0.3
1908,Feb,0
1908,Mar,4.7
1908,Apr,6.3
1908,May,5.8
1908,Jun,85.1
1908,Jul,263
1908,Aug,169.9
1908,Sep,166.6
1908,Oct,16.3
1908,Nov,4
1908,Dec,0
1909,Jan,1.2
1909,Feb,0.1
1909,Mar,0.7
1909,Apr,1.4
1909,May,38.5
1909,Jun,179.6
1909,Jul,247
1909,Aug,101.6
1909,Sep,146.2
1909,Oct,31.1
1909,Nov,3.1
1909,Dec,4.7
1910,Jan,0
1910,Feb,0
1910,Mar,1
1910,Apr,0
1910,May,13.1
1910,Jun,204.6
1910,Jul,172
1910,Aug,228.6
1910,Sep,195.7
1910,Oct,70
1910,Nov,30.2
1910,Dec,0
1911,Jan,2
1911,Feb,0.1
1911,Mar,2.2
1911,Apr,0.2
1911,May,12
1911,Jun,136.9
1911,Jul,137.7
1911,Aug,153.2
1911,Sep,29.9
1911,Oct,23.6
1911,Nov,42.9
1911,Dec,3.8
1912,Jan,0
1912,Feb,0.4
1912,Mar,0
1912,Apr,9
1912,May,20.9
1912,Jun,88.3
1912,Jul,307.6
1912,Aug,150
1912,Sep,34.7
1912,Oct,86
1912,Nov,67.7
1912,Dec,0.3
1913,Jan,0
1913,Feb,0.2
1913,Mar,0
1913,Apr,8.4
1913,May,34
1913,Jun,259.9
1913,Jul,210.8
1913,Aug,86.6
1913,Sep,82.8
1913,Oct,43.7
1913,Nov,0.6
1913,Dec,5.5
1914,Jan,0
1914,Feb,0.4
1914,Mar,0.3
1914,Apr,3.7
1914,May,15.2
1914,Jun,188.3
1914,Jul,348.8
1914,Aug,204.3
1914,Sep,211.6
1914,Oct,22.1
1914,Nov,36.6
1914,Dec,7.6
1915,Jan,8.6
1915,Feb,6.6
1915,Mar,13.9
1915,Apr,21.9
1915,May,12.1
1915,Jun,195.2
1915,Jul,225.4
1915,Aug,80
1915,Sep,228.5
1915,Oct,76.8
1915,Nov,20.9
1915,Dec,18
1916,Jan,0
1916,Feb,0.2
1916,Mar,0.4
1916,Apr,4.9
1916,May,55.2
1916,Jun,144.8
1916,Jul,257.6
1916,Aug,185.9
1916,Sep,217.5
1916,Oct,136.8
1916,Nov,69.1
1916,Dec,0.1
1917,Jan,0.1
1917,Feb,20
1917,Mar,4.8
1917,Apr,7.7
1917,May,15.6
1917,Jun,174.3
1917,Jul,120.6
1917,Aug,187
1917,Sep,205.2
1917,Oct,169.5
1917,Nov,33.4
1917,Dec,0
1918,Jan,5.1
1918,Feb,0.6
1918,Mar,2.6
1918,Apr,1
1918,May,90.5
1918,Jun,51.7
1918,Jul,68.4
1918,Aug,112.4
1918,Sep,55.1
1918,Oct,13.3
1918,Nov,30
1918,Dec,7.5
1919,Jan,3
1919,Feb,0.5
1919,Mar,1.2
1919,Apr,2.7
1919,May,38.2
1919,Jun,173.5
1919,Jul,198.9
1919,Aug,153.8
1919,Sep,231.7
1919,Oct,45.1
1919,Nov,28.4
1919,Dec,1.9
1920,Jan,41.5
1920,Feb,0.2
1920,Mar,0.1
1920,Apr,9.7
1920,May,8
1920,Jun,120.7
1920,Jul,185.9
1920,Aug,94.1
1920,Sep,113.8
1920,Oct,26
1920,Nov,0.3
1920,Dec,0
1921,Jan,1.6
1921,Feb,0
1921,Mar,0.3
1921,Apr,9
1921,May,1.1
1921,Jun,105.8
1921,Jul,291.6
1921,Aug,125
1921,Sep,128.7
1921,Oct,47.5
1921,Nov,23.7
1921,Dec,0
1922,Jan,18.3
1922,Feb,2.6
1922,Mar,0
1922,Apr,16.7
1922,May,27.4
1922,Jun,161.7
1922,Jul,218.2
1922,Aug,79.4
1922,Sep,97.1
1922,Oct,41.2
1922,Nov,141.1
1922,Dec,1.4
1923,Jan,1.9
1923,Feb,1.7
1923,Mar,32.7
1923,Apr,8.7
1923,May,10.5
1923,Jun,30.7
1923,Jul,290
1923,Aug,126.5
1923,Sep,169.5
1923,Oct,6.4
1923,Nov,0
1923,Dec,2.3
1924,Jan,2.1
1924,Feb,0
1924,Mar,2.8
1924,Apr,19.7
1924,May,4.6
1924,Jun,80.3
1924,Jul,173.8
1924,Aug,220.6
1924,Sep,185.8
1924,Oct,49.7
1924,Nov,3.6
1924,Dec,5.3
1925,Jan,0
1925,Feb,0
1925,Mar,3.1
1925,Apr,1.5
1925,May,38.9
1925,Jun,177.7
1925,Jul,152
1925,Aug,115.2
1925,Sep,94.7
1925,Oct,33.9
1925,Nov,40.7
1925,Dec,4
1926,Jan,34.3
1926,Feb,0.6
1926,Mar,0.1
1926,Apr,0.2
1926,May,11.2
1926,Jun,85.9
1926,Jul,230.6
1926,Aug,258
1926,Sep,147.7
1926,Oct,8.1
1926,Nov,8.3
1926,Dec,2.2
1927,Jan,0
1927,Feb,1
1927,Mar,0.9
1927,Apr,4.6
1927,May,9.3
1927,Jun,184.9
1927,Jul,318.7
1927,Aug,85.4
1927,Sep,183.6
1927,Oct,51.3
1927,Nov,83.3
1927,Dec,2
1928,Jan,0.1
1928,Feb,10.3
1928,Mar,3.7
1928,Apr,8
1928,May,0.3
1928,Jun,143.3
1928,Jul,217.7
1928,Aug,159.6
1928,Sep,209
1928,Oct,62.5
1928,Nov,3.1
1928,Dec,14.1
1929,Jan,1
1929,Feb,6.4
1929,Mar,2
1929,Apr,37.1
1929,May,6.4
1929,Jun,155.9
1929,Jul,168.2
1929,Aug,73.7
1929,Sep,151.6
1929,Oct,82.5
1929,Nov,3.4
1929,Dec,2.2
1930,Jan,0
1930,Feb,0
1930,Mar,0.7
1930,Apr,3.2
1930,May,29.8
1930,Jun,178.1
1930,Jul,233.7
1930,Aug,106.5
1930,Sep,247
1930,Oct,87.4
1930,Nov,37.7
1930,Dec,5
1931,Jan,0
1931,Feb,0
1931,Mar,0.6
1931,Apr,14
1931,May,2.9
1931,Jun,109.7
1931,Jul,316.3
1931,Aug,233.5
1931,Sep,178.9
1931,Oct,180.9
1931,Nov,70.2
1931,Dec,25.3
1932,Jan,0
1932,Feb,0.5
1932,Mar,8.6
1932,Apr,22.3
1932,May,27.3
1932,Jun,67.3
1932,Jul,351.7
1932,Aug,221.3
1932,Sep,162.8
1932,Oct,148.4
1932,Nov,30.8
1932,Dec,4
1933,Jan,1.4
1933,Feb,0.5
1933,Mar,3.4
1933,Apr,8.5
1933,May,76.5
1933,Jun,182.3
1933,Jul,194.7
1933,Aug,259.4
1933,Sep,286.1
1933,Oct,93.3
1933,Nov,24
1933,Dec,22.3
1934,Jan,3.7
1934,Feb,0
1934,Mar,1.9
1934,Apr,7.3
1934,May,8
1934,Jun,138.2
1934,Jul,217
1934,Aug,222.3
1934,Sep,136.8
1934,Oct,41.2
1934,Nov,82
1934,Dec,0
1935,Jan,2.5
1935,Feb,0
1935,Mar,0
1935,Apr,3.7
1935,May,1.4
1935,Jun,149.6
1935,Jul,208.6
1935,Aug,195.5
1935,Sep,126.7
1935,Oct,119.4
1935,Nov,7.7
1935,Dec,3.9
1936,Jan,1.3
1936,Feb,6.2
1936,Mar,4.3
1936,Apr,3.8
1936,May,21.1
1936,Jun,169.2
1936,Jul,113.9
1936,Aug,106.3
1936,Sep,161.5
1936,Oct,17.2
1936,Nov,130.4
1936,Dec,0.3
1937,Jan,0
1937,Feb,2
1937,Mar,2
1937,Apr,47.7
1937,May,4.7
1937,Jun,146.7
1937,Jul,319.4
1937,Aug,63.6
1937,Sep,219.9
1937,Oct,96.1
1937,Nov,1.3
1937,Dec,11
1938,Jan,0.6
1938,Feb,1
1938,Mar,23.5
1938,Apr,12.2
1938,May,50.4
1938,Jun,239.9
1938,Jul,286.6
1938,Aug,169.4
1938,Sep,191.5
1938,Oct,141.3
1938,Nov,7.6
1938,Dec,2.3
1939,Jan,0.2
1939,Feb,0.2
1939,Mar,4.1
1939,Apr,6.3
1939,May,1.1
1939,Jun,127.6
1939,Jul,303.9
1939,Aug,219.9
1939,Sep,88.5
1939,Oct,41.8
1939,Nov,27.3
1939,Dec,0.8
1940,Jan,1.3
1940,Feb,1.8
1940,Mar,0.5
1940,Apr,16.5
1940,May,15.8
1940,Jun,191.3
1940,Jul,215.9
1940,Aug,188.7
1940,Sep,132
1940,Oct,95.2
1940,Nov,30.1
1940,Dec,4.2
1941,Jan,28.2
1941,Feb,8
1941,Mar,1.8
1941,Apr,5.4
1941,May,4.2
1941,Jun,96.1
1941,Jul,338.6
1941,Aug,103.7
1941,Sep,143.3
1941,Oct,44.5
1941,Nov,0.1
1941,Dec,0.4
1942,Jan,0.2
1942,Feb,2.5
1942,Mar,0.2
1942,Apr,6.7
1942,May,10
1942,Jun,213.3
1942,Jul,364.7
1942,Aug,191.6
1942,Sep,93.8
1942,Oct,20
1942,Nov,1.3
1942,Dec,36.9
1943,Jan,4.1
1943,Feb,0
1943,Mar,1.5
1943,Apr,3.5
1943,May,63.4
1943,Jun,150.5
1943,Jul,316.4
1943,Aug,80.9
1943,Sep,166.2
1943,Oct,196
1943,Nov,10.6
1943,Dec,0
1944,Jan,0.8
1944,Feb,0.7
1944,Mar,10.3
1944,Apr,0.1
1944,May,21.4
1944,Jun,132.2
1944,Jul,421.7
1944,Aug,227.8
1944,Sep,142.1
1944,Oct,115.3
1944,Nov,13.6
1944,Dec,0
1945,Jan,4.2
1945,Feb,0
1945,Mar,0
1945,Apr,9.8
1945,May,5.2
1945,Jun,125.6
1945,Jul,263.7
1945,Aug,209
1945,Sep,132.4
1945,Oct,37.1
1945,Nov,6.3
1945,Dec,0
1946,Jan,0
1946,Feb,2.9
1946,Mar,0
1946,Apr,22
1946,May,34.3
1946,Jun,138.4
1946,Jul,288.5
1946,Aug,255.9
1946,Sep,170.3
1946,Oct,23.1
1946,Nov,152.8
1946,Dec,15.4
1947,Jan,18.7
1947,Feb,1.4
1947,Mar,4.4
1947,Apr,31
1947,May,19.6
1947,Jun,63
1947,Jul,230.6
1947,Aug,272.8
1947,Sep,216.2
1947,Oct,23
1947,Nov,10.3
1947,Dec,14.6
1948,Jan,16.9
1948,Feb,0.7
1948,Mar,4.3
1948,Apr,7.6
1948,May,8.9
1948,Jun,191
1948,Jul,239.6
1948,Aug,181.4
1948,Sep,162
1948,Oct,66.6
1948,Nov,137.1
1948,Dec,0.1
1949,Jan,0
1949,Feb,0
1949,Mar,2
1949,Apr,4.8
1949,May,58.4
1949,Jun,102
1949,Jul,201.3
1949,Aug,174
1949,Sep,323.1
1949,Oct,82.2
1949,Nov,5.7
1949,Dec,0
1950,Jan,0
1950,Feb,0.2
1950,Mar,1.5
1950,Apr,5.9
1950,May,23.2
1950,Jun,59.5
1950,Jul,400.2
1950,Aug,102.9
1950,Sep,248.8
1950,Oct,87.3
1950,Nov,2.2
1950,Dec,0.8
1951,Jan,0.1
1951,Feb,0
1951,Mar,0.5
1951,Apr,9.3
1951,May,29.5
1951,Jun,150.1
1951,Jul,250.2
1951,Aug,136.3
1951,Sep,71.7
1951,Oct,128.9
1951,Nov,20.1
1951,Dec,0
1952,Jan,0
1952,Feb,1.9
1952,Mar,0
1952,Apr,8.9
1952,May,18.9
1952,Jun,131.2
1952,Jul,268.8
1952,Aug,139.1
1952,Sep,57.1
1952,Oct,56.7
1952,Nov,0
1952,Dec,0.8
1953,Jan,1.2
1953,Feb,0
1953,Mar,0.1
1953,Apr,24.5
1953,May,2
1953,Jun,186.3
1953,Jul,216.5
1953,Aug,220.2
1953,Sep,126.8
1953,Oct,116.1
1953,Nov,0
1953,Dec,0
1954,Jan,2
1954,Feb,0.4
1954,Mar,16
1954,Apr,6
1954,May,15.8
1954,Jun,158.5
1954,Jul,305.3
1954,Aug,171.7
1954,Sep,263
1954,Oct,30.1
1954,Nov,0
1954,Dec,16.2
1955,Jan,3.2
1955,Feb,0
1955,Mar,6.8
1955,Apr,12.2
1955,May,25.8
1955,Jun,140.9
1955,Jul,149.6
1955,Aug,254.3
1955,Sep,218.9
1955,Oct,159
1955,Nov,10.4
1955,Dec,0
1956,Jan,1.5
1956,Feb,0.2
1956,Mar,1.1
1956,Apr,11.3
1956,May,91.2
1956,Jun,111
1956,Jul,360.5
1956,Aug,252
1956,Sep,165.8
1956,Oct,148
1956,Nov,90.1
1956,Dec,1.1
1957,Jan,0.1
1957,Feb,0
1957,Mar,4.8
1957,Apr,20.9
1957,May,36.9
1957,Jun,177.8
1957,Jul,196.4
1957,Aug,202.2
1957,Sep,98.7
1957,Oct,85.1
1957,Nov,26.8
1957,Dec,0.1
1958,Jan,1.6
1958,Feb,0
1958,Mar,5.4
1958,Apr,23.6
1958,May,32.9
1958,Jun,101.9
1958,Jul,393.3
1958,Aug,296.6
1958,Sep,112.1
1958,Oct,57.4
1958,Nov,29.2
1958,Dec,0.1
1959,Jan,2.4
1959,Feb,0
1959,Mar,0
1959,Apr,16.8
1959,May,39.3
1959,Jun,174.7
1959,Jul,344.3
1959,Aug,199
1959,Sep,202.7
1959,Oct,84.7
1959,Nov,54.9
1959,Dec,0.1
1960,Jan,3.6
1960,Feb,0
1960,Mar,3
1960,Apr,5.1
1960,May,61.3
1960,Jun,146.4
1960,Jul,235
1960,Aug,138
1960,Sep,229
1960,Oct,44.9
